Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	-120.683800	-127.054855	866.158691	-317.033661	11.449878	862.415894	-118.154457	131.600510	866.770874	-276.657471	-110.662003	21.698868	-106.148994	-147.411957	27.583874	-232.778275	-151.842728	48.543694	-193.020538	-71.569351	66.101799	-299.094177	89.074928	20.342577	-128.057495	139.832474	29.767534	-250.884598	133.919968	50.138371	-214.851257	52.834015	56.540272
2	0	-120.667938	-127.048965	866.160828	-317.024445	11.453493	862.416565	-118.147507	131.606522	866.773254	-276.657684	-110.662819	21.700306	-106.148094	-147.411484	27.583424	-232.777588	-151.843048	48.544727	-193.019272	-71.570969	66.100243	-299.095490	89.074440	20.345938	-128.057175	139.831512	29.766596	-250.883224	133.919067	50.137981	-214.850662	52.833633	56.540859
3	0	-120.652481	-127.043083	866.162964	-317.015533	11.457088	862.417175	-118.140846	131.612457	866.775574	-276.657867	-110.663620	21.701714	-106.147209	-147.410995	27.582985	-232.776901	-151.843338	48.545746	-193.018036	-71.572586	66.098701	-299.096832	89.073959	20.349237	-128.056870	139.830597	29.765675	-250.881912	133.918152	50.137596	-214.850082	52.833263	56.541439
4	0	-120.637428	-127.037186	866.165100	-317.006927	11.460657	862.417664	-118.134483	131.618362	866.777954	-276.658112	-110.664444	21.703100	-106.146332	-147.410492	27.582552	-232.776230	-151.843658	48.546749	-193.016830	-71.574188	66.097176	-299.098145	89.073486	20.352488	-128.056564	139.829697	29.764771	-250.880661	133.917252	50.137215	-214.849533	52.832901	56.542015
5	0	-120.622787	-127.031281	866.167114	-316.998566	11.464206	862.418152	-118.128410	131.624222	866.780334	-276.658325	-110.665253	21.704458	-106.145470	-147.410019	27.582129	-232.775558	-151.843948	48.547749	-193.015640	-71.575790	66.095657	-299.099457	89.073021	20.355682	-128.056290	139.828766	29.763882	-250.879471	133.916397	50.136833	-214.849014	52.832542	56.542591
6	0	-120.608543	-127.025368	866.169189	-316.990570	11.467730	862.418579	-118.122627	131.630051	866.782593	-276.658600	-110.666084	21.705788	-106.144638	-147.409561	27.581715	-232.774918	-151.844269	48.548729	-193.014465	-71.577377	66.094170	-299.100739	89.072571	20.358826	-128.056000	139.827881	29.763012	-250.878326	133.915527	50.136463	-214.848511	52.832207	56.543167
7	0	-120.594719	-127.019432	866.171326	-316.982910	11.471232	862.419067	-118.117157	131.635818	866.784973	-276.658844	-110.666908	21.707092	-106.143799	-147.409088	27.581308	-232.774292	-151.844559	48.549694	-193.013321	-71.578964	66.092674	-299.102051	89.072113	20.361912	-128.055756	139.826981	29.762154	-250.877258	133.914703	50.136097	-214.848053	52.831875	56.543736
8	0	-120.581299	-127.013489	866.173340	-316.975494	11.474711	862.419434	-118.111969	131.641556	866.787292	-276.659088	-110.667725	21.708370	-106.142990	-147.408615	27.580912	-232.773666	-151.844879	48.550648	-193.012207	-71.580536	66.091202	-299.103333	89.071686	20.364944	-128.055496	139.826111	29.761318	-250.876221	133.913895	50.135731	-214.847641	52.831551	56.544300
9	0	-120.568275	-127.007561	866.175354	-316.968445	11.478168	862.419739	-118.107071	131.647232	866.789673	-276.659332	-110.668564	21.709623	-106.142189	-147.408157	27.580523	-232.773056	-151.845169	48.551590	-193.011124	-71.582100	66.089752	-299.104614	89.071251	20.367920	-128.055252	139.825241	29.760494	-250.875259	133.913071	50.135376	-214.847244	52.831238	56.544861
10	0	-120.555664	-127.001602	866.177246	-316.961639	11.481604	862.419983	-118.102478	131.652847	866.792053	-276.659607	-110.669388	21.710846	-106.141396	-147.407715	27.580141	-232.772476	-151.845490	48.552517	-193.010025	-71.583664	66.088303	-299.105896	89.070831	20.370844	-128.055054	139.824356	29.759689	-250.874374	133.912277	50.135021	-214.846893	52.830933	56.545429
11	0	-120.543457	-126.995636	866.179199	-316.955200	11.485014	862.420227	-118.098160	131.658447	866.794434	-276.659882	-110.670235	21.712046	-106.140617	-147.407257	27.579771	-232.771881	-151.845779	48.553429	-193.009003	-71.585213	66.086876	-299.107178	89.070435	20.373714	-128.054825	139.823517	29.758902	-250.873535	133.911514	50.134670	-214.846573	52.830643	56.545982
12	0	-120.531662	-126.989662	866.181213	-316.949036	11.488403	862.420410	-118.094162	131.663986	866.796753	-276.660156	-110.671074	21.713219	-106.139862	-147.406815	27.579409	-232.771317	-151.846100	48.554333	-193.007980	-71.586761	66.085457	-299.108459	89.070030	20.376532	-128.054626	139.822647	29.758131	-250.872757	133.910767	50.134327	-214.846268	52.830364	56.546543
13	0	-120.520264	-126.983673	866.183105	-316.943207	11.491769	862.420471	-118.090446	131.669510	866.799133	-276.660400	-110.671906	21.714365	-106.139114	-147.406387	27.579052	-232.770782	-151.846390	48.555222	-193.006958	-71.588303	66.084061	-299.109711	89.069633	20.379292	-128.054443	139.821808	29.757376	-250.872040	133.910019	50.133984	-214.845993	52.830093	56.547092
14	0	-120.509277	-126.977699	866.184937	-316.937622	11.495113	862.420593	-118.087013	131.674942	866.801453	-276.660706	-110.672760	21.715487	-106.138390	-147.405945	27.578709	-232.770248	-151.846710	48.556091	-193.005997	-71.589828	66.082657	-299.110962	89.069252	20.381998	-128.054260	139.820999	29.756638	-250.871353	133.909302	50.133648	-214.845779	52.829826	56.547649
