rx,ry,rz,lx,ly,lz
5.247942411307052168e+01,3.017153759542744638e+02,8.705012545177958145e+02,2.082819285500124238e+02,3.134138204238845447e+02,8.554579020844003026e+02
4.228838471918354003e+01,3.000491724387520094e+02,8.718680426222052802e+02,2.243877243560744148e+02,2.954545100782171403e+02,8.769881299193048108e+02
6.674175280474116789e+01,3.023899632785488620e+02,8.752459651941620677e+02,2.008637385534886448e+02,3.200931356349633461e+02,8.735450774152578788e+02
3.374309660365216246e+01,3.153937150389264730e+02,8.627105066160401066e+02,2.267323641246382522e+02,3.032797499532952656e+02,8.764216386978174569e+02
3.558785661527942068e+01,2.973508248934682001e+02,8.684025390786531489e+02,2.041290841919125683e+02,2.926858558352585646e+02,8.721288983711026503e+02
4.332692691248423245e+01,3.040459548338916989e+02,8.655364295242221715e+02,2.132125412538772764e+02,3.046200795866558906e+02,8.832424052424631782e+02
6.117242919168104720e+01,2.941143070832432045e+02,8.638802085413005898e+02,2.254678273535600397e+02,2.857336612342963349e+02,8.952907144743269328e+02
5.249548050258680121e+01,3.119227076136236292e+02,8.748146946219715119e+02,2.026263052540493845e+02,3.079851309808528299e+02,8.732032782808070124e+02
2.369092939346857918e+01,3.081866535034541243e+02,8.632868620603129557e+02,2.014750307395000561e+02,3.187121508189389374e+02,8.763246125641575190e+02
5.369566475686828966e+01,2.920964349192004761e+02,8.676969333487318181e+02,2.191841582146690826e+02,3.119380278304488456e+02,8.589908298439825103e+02
4.834864983382494330e+01,3.081793228138680547e+02,8.719247902521798324e+02,2.053095722986601857e+02,3.040918916060487618e+02,8.742251814977765889e+02
5.504937500215561386e+01,2.968175456074438330e+02,8.653726476960624723e+02,2.394394480354102939e+02,2.905546466920529838e+02,8.918076525587871402e+02
6.426535963968598253e+01,2.931611200246973112e+02,8.699328798876116480e+02,2.076511853589701389e+02,2.821059780940617543e+02,8.504714131563047204e+02
4.519802373886409441e+01,2.911805066544992542e+02,8.732151875245234578e+02,2.065976667252910772e+02,2.802508290470099723e+02,8.741909741853086189e+02
4.110092126684920544e+01,2.848247638316732377e+02,8.675765222868398041e+02,2.200745227112782061e+02,3.029914315610552080e+02,8.884872440685911670e+02
5.175683978030204457e+01,3.053807234568541844e+02,8.770326646168977049e+02,2.054016314766669495e+02,3.164866267467641023e+02,8.777263124777228995e+02
6.829061847275679042e+01,3.146703950265654726e+02,8.616336486057998627e+02,2.067912327454512251e+02,2.880389309571353351e+02,8.682918647227196516e+02
4.867168977663450136e+01,2.981663824208264941e+02,8.563633964246771484e+02,2.067221021206171088e+02,3.084933969631789523e+02,8.840749382747061418e+02
7.261524768302524535e+01,2.997918229614436427e+02,8.676736617921864081e+02,2.102140913906166872e+02,3.002980038707745507e+02,8.723950966538986904e+02
3.750399817524213120e+01,2.911371775982395320e+02,8.793865618165257274e+02,2.295568904247187447e+02,2.873073320242557998e+02,8.568044587473083311e+02
5.502306278024027364e+01,2.973068676315836001e+02,8.862504289043235985e+02,2.267426477908922493e+02,3.044407864133867179e+02,8.722346760136067587e+02
5.966009092265760216e+01,2.925976935225741045e+02,8.541326089200911156e+02,2.198048481326343904e+02,2.899182992389235096e+02,8.714117534922687582e+02
4.101243158878914130e+01,2.845559231127380713e+02,8.755362663778271326e+02,2.314970731014050500e+02,2.994207199131390666e+02,8.488505248016369933e+02
4.643321319709676231e+01,2.922536878778144569e+02,8.675293501040032424e+02,2.082349767814300776e+02,3.087684119964036427e+02,8.638111005489554373e+02
3.957624935968085822e+01,3.036581481432474448e+02,8.674245928958936247e+02,2.219532925002284287e+02,3.075540151610044290e+02,8.699229029769929866e+02
4.268223697380081916e+01,2.865615816075568887e+02,8.618482904304285057e+02,2.092487206950576422e+02,2.973761396393737755e+02,8.742209757778284711e+02
2.135367338103787915e+01,2.957382570597735594e+02,8.750458198723406440e+02,2.219435575275509507e+02,3.047833369869002240e+02,8.693013040648074821e+02
3.569988994585348507e+01,2.843341237933223624e+02,8.660221946128115178e+02,2.154466563155359893e+02,2.898524239284089390e+02,8.579300658163494973e+02
5.015674703924536004e+01,3.121918384674648337e+02,8.861577587473706217e+02,2.242072160650165245e+02,3.024752881662490722e+02,8.631764206910432904e+02
4.213981805999972607e+01,3.201407074417596732e+02,8.727679350978850152e+02,2.188081695228329124e+02,3.014702289108055879e+02,8.726869263037616520e+02
3.805231111238804687e+01,3.022798957454974698e+02,8.617734307222118559e+02,2.026173910953134794e+02,3.091468307604010874e+02,8.736874925061493968e+02
4.925160352882208770e+01,2.886752216972739689e+02,8.633315348891436543e+02,2.010947114418164574e+02,2.816294099165865532e+02,8.808156463471250390e+02
3.388789729092641068e+01,3.145222917123235788e+02,8.812600728094149645e+02,2.175281034702376814e+02,2.949639754461841790e+02,8.539286944461078974e+02
5.984845981080291466e+01,2.961823444855374987e+02,8.645735581119620292e+02,2.200746863351241700e+02,3.008310490572139315e+02,8.719539357419206453e+02
5.491773875146204631e+01,3.083873814088669860e+02,8.669952727707280928e+02,2.176962607985410898e+02,3.126122795260229168e+02,8.695854973001639792e+02
4.933152701209909452e+01,2.991596824433702295e+02,8.804302931158763386e+02,2.135735604501021498e+02,2.948389632690046938e+02,8.803174926507496139e+02
4.571786674545140983e+01,3.057216778523614380e+02,8.701937011006689318e+02,2.114365830320859914e+02,2.985988946554583663e+02,8.628550755664482494e+02
6.579684250232104148e+01,2.900049739857184932e+02,8.577597633735487079e+02,2.199848455150296331e+02,2.894062931278786550e+02,8.671856064757452032e+02
5.395817592727905776e+01,2.931300491667796564e+02,8.828741088171753972e+02,2.256644832703697148e+02,3.024268401798346986e+02,8.867446709551650201e+02
3.162997881600149341e+01,2.903453559895494323e+02,8.698169458764435831e+02,2.071024162989919830e+02,3.039121074187349336e+02,8.758670160104234128e+02
6.273445997699789700e+01,2.851656217754451177e+02,8.599165416710844738e+02,2.178438650159038446e+02,3.096210322406168984e+02,8.702721152426568096e+02
5.499549696614757721e+01,2.982220708986025102e+02,8.679403203602333861e+02,2.076443750556836676e+02,3.042200903307291924e+02,8.706553022139582936e+02
4.230832014734370006e+01,3.035421597655376331e+02,8.552373060619614762e+02,2.075697271198630176e+02,2.925754878393022977e+02,8.719935126889116646e+02
4.460378642380267422e+01,2.951844089947175007e+02,8.660150763563653982e+02,2.206885512010861135e+02,3.062878474348500504e+02,8.617127339856656363e+02
4.443464636199527718e+01,2.996413925933233600e+02,8.552345103326105118e+02,2.233133734444264746e+02,3.078735601132040642e+02,8.441487590714344833e+02
5.168571558467505866e+01,3.260524484845364555e+02,8.875132760164713090e+02,2.132699934528590404e+02,3.013303801057057854e+02,8.601511033947626856e+02
6.139267483717756591e+01,2.907187501475487466e+02,8.702955755297164160e+02,2.075330192475904028e+02,2.959082944603052283e+02,8.805363361300939005e+02
3.747163624859979336e+01,2.970617341810449830e+02,8.594991344561370852e+02,2.162522605458478040e+02,2.943944824305657448e+02,8.577742952415948139e+02
6.391024004781282741e+01,3.107891985573086231e+02,8.759682329505279768e+02,2.137710363091659644e+02,3.167194024265545522e+02,8.707669370364367296e+02
5.492957134853804035e+01,2.949111908592059876e+02,8.828040947663864699e+02,2.278839223184969853e+02,3.151072319768663306e+02,8.763052244956272716e+02
6.164918405732322526e+01,2.871538035962596496e+02,8.449554285758391643e+02,2.079781611750938453e+02,3.104960004514373395e+02,8.734692029122024906e+02
4.741253645281680207e+01,3.054612317028818325e+02,8.788456856774230346e+02,2.178738819246678986e+02,3.052239674859459910e+02,8.580683557941006256e+02
4.871871338914020555e+01,3.125461123011020845e+02,8.720343632706914150e+02,2.145828931074412935e+02,2.854270611668544575e+02,8.695906942577134942e+02
5.568924353072416267e+01,3.018571957703388762e+02,8.748158453364069373e+02,2.252772316152589553e+02,2.906781087842645661e+02,8.693701109320531941e+02
5.472387130584276349e+01,2.952725930489376083e+02,8.785399274664962377e+02,2.166212650557552024e+02,2.955595250144769466e+02,8.747689161842321255e+02
5.992809185360266611e+01,2.932800580740521923e+02,8.665923171918789194e+02,2.013674692487129505e+02,3.015665016181698093e+02,8.775449975056311587e+02
4.685291316609040280e+01,3.189493608150912678e+02,8.757895141009498730e+02,2.049253329360548719e+02,2.946144559633566473e+02,8.829588662172471913e+02
3.979293517801499291e+01,2.826851246957604076e+02,8.751318304057469959e+02,2.136920436978755049e+02,3.033369736434945025e+02,8.637924205492632836e+02
4.045124404435529186e+01,2.970532379754902195e+02,8.797987094826569319e+02,2.150778582726335344e+02,3.075854467919058379e+02,8.746257235174366542e+02
3.527436853051314358e+01,2.984801659310545006e+02,8.875925460916115526e+02,2.140439298535656008e+02,3.133870345229153713e+02,8.828202711429655665e+02
5.036177437703685200e+01,2.878726637675646884e+02,8.828136540818991307e+02,1.965991503313409794e+02,3.095403950552554306e+02,8.538035016755385413e+02
4.983458566299871251e+01,3.085250293209497272e+02,8.612332724747374186e+02,2.187198697081916521e+02,3.026270204664184007e+02,8.900150542242287202e+02
6.140087734334518643e+01,3.050567379038587887e+02,8.770602764665546829e+02,2.071147901347954985e+02,3.120430943806912865e+02,8.681711145334859339e+02
6.651689044800284023e+01,2.836169851659930146e+02,8.691435695759784039e+02,2.207687388658700627e+02,3.015192372569063082e+02,8.764233762818671494e+02
4.922497878985295472e+01,2.953583887392739484e+02,8.604513495065048119e+02,2.189383952080501388e+02,2.846647167840037014e+02,8.773634174996178672e+02
4.677453385296535515e+01,2.946536099726760085e+02,8.596398231846339968e+02,2.123470092821954154e+02,3.258737419910556241e+02,8.649201049200560192e+02
7.304578130452080131e+01,3.028906562542032930e+02,8.736467012211495557e+02,2.181667154195530429e+02,2.970728410731431381e+02,8.672781258880517044e+02
6.265778783785840744e+01,3.098964181459980978e+02,8.740758599404537108e+02,1.995534957893098067e+02,3.129864816807709076e+02,8.657654643059892123e+02
5.847008159309059749e+01,2.875714934575203188e+02,8.614781662077672308e+02,2.001617622652457840e+02,2.974652522363720664e+02,8.746378044840868142e+02
4.543164908817664838e+01,2.947239660054373758e+02,8.555516437791538920e+02,1.998490637788402466e+02,2.929251253906792272e+02,8.642355289477430915e+02
3.629215669211539108e+01,2.867099072696306621e+02,8.683955158794985891e+02,2.019423491043717434e+02,2.947822793760727222e+02,8.611543429158814433e+02
5.457461503689275162e+01,3.010180147300613385e+02,8.619139803347750330e+02,2.110610167275468143e+02,3.017806043655409667e+02,8.796571559491711696e+02
5.383231520649106727e+01,3.138417790335298037e+02,8.700562380248084082e+02,2.143616577393136140e+02,3.078885861640948747e+02,8.643485072566102190e+02
5.682743335878237190e+01,3.102570363539014693e+02,8.752140347260188946e+02,2.109205282203961929e+02,2.955406502668535040e+02,8.563433691003890544e+02
5.844548229885540991e+01,2.917869048590916918e+02,8.677209427502295966e+02,2.334143684906566136e+02,2.973666711413341091e+02,8.535659180680028157e+02
4.811671416771788756e+01,3.000010558586644720e+02,8.566097580728227285e+02,1.993163749359735561e+02,3.201169696502084889e+02,8.452225590483102451e+02
4.839444640090498950e+01,2.893877136449501108e+02,8.692798264521630927e+02,2.136543667130347330e+02,3.042835891880200734e+02,8.828343752758372602e+02
4.945749971885613405e+01,3.069661474513563917e+02,8.813857502783312157e+02,2.339617922010803284e+02,2.999429450706790021e+02,8.786298104850399113e+02
