Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
460	0	-2365.351563	-607.516479	852.854614	-2569.414795	-489.453003	832.669617	-2377.658203	-354.174438	831.878906	-2357.633301	-536.581726	16.407934	-2186.701172	-555.391602	24.881359	-2308.988281	-577.013428	38.523788	-2282.024170	-496.822510	66.435585	-2829.817383	-417.752502	144.411041	-2715.604492	-401.896606	24.697529	-2779.750000	-371.830383	121.960434			
461	0	-2355.729492	-609.678772	854.169128	-2559.970459	-490.409271	835.370056	-2367.422119	-355.844055	834.422485	-2357.698486	-536.633423	16.384539	-2186.771484	-555.568726	24.814096	-2308.844727	-577.022400	38.302486	-2281.993652	-496.864807	66.397896	-2813.862793	-420.595703	152.412827	-2709.231445	-398.852295	27.546379	-2765.885498	-372.704346	128.326706			
462	0	-2346.260254	-611.788269	855.383362	-2550.623535	-491.279633	837.955627	-2357.276367	-357.477539	836.970703	-2357.761963	-536.679260	16.365580	-2186.831787	-555.677734	24.754141	-2308.704590	-577.005127	38.113148	-2281.966309	-496.849701	66.331169	-2797.066162	-423.187805	158.943863	-2699.090088	-395.712524	30.572481	-2750.597656	-373.581726	133.757568			
463	0	-2336.943359	-613.844910	856.497070	-2541.373779	-492.063995	840.426270	-2347.222168	-359.074860	839.523071	-2357.823975	-536.718811	16.350904	-2186.883057	-555.720459	24.701780	-2308.569580	-576.962341	37.956448	-2281.941650	-496.778015	66.235725	-2779.420166	-425.519623	164.018112	-2685.255615	-392.541016	33.714855	-2733.893555	-374.454620	138.252670			
464	0	-2327.777100	-615.847656	857.509583	-2532.220215	-492.762390	842.780945	-2337.258301	-360.635742	842.078247	-2357.886475	-536.750793	16.340353	-2186.927490	-555.702087	24.657177	-2308.445801	-576.895264	37.834404	-2281.919189	-496.651306	66.112434	-2760.906006	-427.567261	167.671814	-2667.923340	-389.488800	36.834599	-2715.792725	-375.303528	141.812500			
465	0	-2318.759521	-617.794739	858.420532	-2523.160400	-493.374725	845.017944	-2327.385742	-362.160187	844.633362	-2357.950928	-536.773376	16.334059	-2186.967773	-555.632568	24.620096	-2308.341797	-576.806091	37.751209	-2281.897217	-496.472687	65.963036	-2741.498047	-429.289093	169.970245	-2647.438477	-386.785248	39.731537	-2696.332031	-376.096527	144.441589			
466	0	-2309.887695	-619.683533	859.230225	-2514.192139	-493.900879	847.134460	-2317.603027	-363.648163	847.182983	-2358.019775	-536.783875	16.332773	-2187.006592	-555.525452	24.589769	-2308.272705	-576.698792	37.713593	-2281.874023	-496.246552	65.790337	-2721.171387	-430.631775	171.006165	-2624.285645	-384.677917	42.203522	-2675.567871	-376.794708	146.152328			
467	0	-2301.158936	-621.509827	859.939758	-2505.309326	-494.340515	849.126221	-2307.909424	-365.100281	849.718750	-2358.096191	-536.779724	16.337929	-2187.044678	-555.395752	24.564856	-2308.257080	-576.578430	37.730633	-2281.847412	-495.978271	65.598465	-2699.910400	-431.547119	170.890762	-2599.035400	-383.354004	44.110783	-2653.571289	-377.363525	146.967087	-2606.716309	-453.231384	136.659470
468	0	-2292.570557	-623.268616	860.551636	-2496.506348	-494.693207	850.987122	-2298.302979	-366.517548	852.228943	-2358.183350	-536.759094	16.351496	-2187.083496	-555.257751	24.543564	-2308.316406	-576.451416	37.812824	-2281.817383	-495.674255	65.392960	-2677.714600	-432.013336	169.740723	-2572.252197	-382.890808	45.401760	-2630.427246	-377.783051	146.921082	-2583.236572	-453.012482	137.323257
469	0	-2284.120361	-624.953796	861.069397	-2487.775391	-494.958527	852.709717	-2288.781006	-367.901367	854.698486	-2358.285645	-536.721313	16.375614	-2187.122803	-555.121826	24.523966	-2308.472412	-576.324463	37.970596	-2281.786133	-495.341827	65.180840	-2654.598633	-432.052979	167.666931	-2544.392578	-383.250549	46.093288	-2606.231445	-378.054230	146.065842	-2559.087402	-452.892181	137.572739
470	0	-2275.803955	-626.559692	861.496094	-2479.105957	-495.135864	854.284912	-2279.339600	-369.253662	857.108704	-2358.406494	-536.667236	16.412130	-2187.161865	-554.994812	24.504354	-2308.742188	-576.203918	38.212395	-2281.759033	-494.989349	64.970398	-2630.590820	-431.740295	164.769180	-2515.759277	-384.293457	46.247124	-2581.089111	-378.200012	144.470184	-2534.270264	-452.871338	137.408920
