Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
380	0	-2367.385742	205.443039	833.571289				-2328.386719	458.332031	840.114685				-2583.086426	262.886200	24.985950	-2698.392822	248.602325	66.039085	-2657.014893	328.084747	79.536888	-2222.123291	439.599396	7.111580	-2055.328613	452.013855	47.535927	-2168.681396	476.915314	42.847168	-2155.751465	393.919678	65.124161
381	0	-2354.867432	207.064590	832.720398				-2316.473877	459.732422	841.567993				-2582.154785	262.714417	24.690662	-2696.673096	247.635193	68.979340	-2655.112549	327.045959	81.968285	-2219.909424	439.705170	9.967583	-2052.569092	449.347839	38.917656	-2165.783691	476.218811	43.013287	-2150.102539	392.107147	61.601242
382	0	-2342.540283	208.724960	832.110168				-2304.770996	461.206818	843.040344				-2581.562500	262.561981	24.639172	-2694.348389	246.329865	72.466187	-2652.770996	325.850006	84.739151	-2217.153076	439.010895	12.689868	-2045.495972	446.539948	38.057064	-2160.240234	474.510529	44.226212	-2145.848145	390.076324	59.182629
383	0	-2330.403564	210.423935	831.740295	-2506.611816	377.132690	831.207031	-2293.277100	462.755005	844.531006				-2580.968994	262.500061	24.687336	-2691.475098	244.837051	76.541664	-2649.902832	324.600189	87.887329	-2215.132324	438.200684	14.543530	-2039.931030	446.205566	38.036709	-2155.848389	472.660126	44.680649	-2143.372803	388.190125	57.736206
384	0	-2318.458740	212.160812	831.609985	-2494.919678	378.026123	832.332642	-2281.992432	464.376465	846.037354	-2737.654541	279.942078	73.512009	-2580.094482	262.558319	24.629686	-2688.076660	243.498642	80.987892	-2646.326904	323.403564	91.437408	-2214.242432	438.000641	15.360601	-2039.365234	446.731567	35.588989	-2154.605957	471.975342	44.841412	-2142.432617	386.969452	57.100937
385	0	-2306.706055	213.934235	831.717285	-2483.489502	378.960510	833.541809	-2270.917480	466.069946	847.555115	-2737.117432	281.483948	83.883469	-2578.992676	262.709320	24.504589	-2684.127686	242.503723	85.741936	-2641.815186	322.278595	95.355392	-2213.736816	438.461792	15.781859	-2040.082275	445.034119	33.740658	-2153.875488	472.407013	45.122150	-2142.128662	386.646210	57.057777
386	0	-2295.145752	215.741898	832.059265	-2472.321045	379.935120	834.834045	-2260.052246	467.833435	849.077698	-2732.758789	281.523163	92.434669	-2577.817383	262.906036	24.441122	-2679.415527	241.748489	90.993553	-2636.177246	321.152161	99.566078	-2213.249756	439.171234	16.192678	-2039.011719	443.631927	33.262501	-2152.546143	473.143951	44.762909	-2141.738281	386.973724	57.266502
387	0	-2283.779053	217.580505	832.630798	-2461.412598	380.947723	836.208130	-2249.397705	469.663727	850.597107	-2726.047363	281.066864	100.713387	-2576.190430	262.876160	24.066988	-2673.645508	240.994492	96.677292	-2629.313965	319.879700	104.003746	-2212.894531	439.721527	16.589638	-2037.560669	445.693878	32.271137	-2151.571289	473.740723	44.042992	-2141.084473	387.554565	57.453709
388	0	-2272.605225	219.445709	833.425720	-2450.763184	381.993835	837.661499	-2238.957031	471.556458	852.104248	-2718.104004	280.669037	109.817947	-2573.957520	262.811096	23.664707	-2666.875244	240.123093	102.731735	-2621.253174	318.304291	108.670769	-2212.738525	440.092255	16.936928	-2036.636597	448.526855	30.693552	-2150.947021	474.043396	43.252327	-2140.306641	388.178925	57.519753
389	0	-2261.622070	221.332199	834.435242	-2440.369385	383.066101	839.190002	-2228.731689	473.505585	853.589661	-2709.172852	279.985107	119.823784	-2571.397461	263.591492	25.005621	-2659.130371	238.941925	109.077011	-2612.136230	316.351501	113.634735	-2212.687744	440.324463	17.181326	-2036.159790	449.171600	29.873419	-2150.422852	474.111115	42.520096	-2139.647461	388.701080	57.542786
390	0	-2250.827148	223.233902	835.649048	-2430.225830	384.153839	840.787659	-2218.724609	475.503723	855.044312	-2698.965820	278.602478	130.321976	-2569.125000	264.263000	27.568346	-2650.274170	237.365036	115.777077	-2602.090576	314.084595	118.929726	-2212.645752	440.305115	17.226334	-2035.965454	449.239563	29.523249	-2150.624512	474.842773	42.727234	-2139.195313	389.052002	57.580685
391	0	-2240.214111	225.144257	837.055237	-2420.325195	385.243469	842.446716	-2208.937988	477.541809	856.459473	-2686.948486	276.832001	140.984314	-2566.513672	262.143890	27.880978	-2640.231934	235.569809	123.143494	-2591.117432	311.679626	124.482231	-2212.673584	440.142242	17.148457	-2035.768555	450.054626	29.142897	-2150.944824	475.324005	42.805714	-2138.885986	389.248352	57.600998
392	0	-2229.775635	227.056152	838.640015	-2410.657471	386.318787	844.157471	-2199.372803	479.609558	857.827332	-2672.997559	275.226563	151.784164	-2561.557861	259.431549	29.555021	-2628.734375	233.756699	131.163757	-2579.121338	309.396362	130.172134	-2212.804199	440.012878	17.062191	-2035.605713	450.788147	29.083593	-2151.084717	475.254883	42.429203	-2138.664795	389.331329	57.566151
393	0	-2219.501953	228.962372	840.388062	-2401.209229	387.361664	845.908020	-2190.028076	481.695374	859.140198	-2657.840576	273.652771	162.592407	-2555.022705	256.988922	34.164238	-2615.136230	232.169556	139.104477	-2566.032227	307.532379	135.939926	-2212.976563	439.968292	17.008184	-2035.619995	451.019043	29.145468	-2151.173584	475.179840	42.156963	-2138.561523	389.330658	57.494488
394	0	-2209.380859	230.855637	842.282593	-2391.964355	388.353424	847.685059	-2180.901123	483.786957	860.391113	-2641.918701	272.063385	172.724747	-2546.574951	255.294174	39.719204	-2599.185059	231.201645	146.195862	-2551.768799	306.217590	141.706787	-2213.126465	440.000275	16.979538	-2035.693359	451.114288	29.099283	-2151.247070	475.238220	42.061420	-2138.597656	389.319550	57.425461
395	0	-2199.399170	232.728897	844.305481	-2382.905273	389.275391	849.472961	-2171.984619	485.871460	861.573120	-2625.244873	271.182739	181.397827	-2535.088867	254.187820	45.018089	-2582.271484	230.760941	152.509781	-2536.181641	305.377502	147.296371	-2213.246826	440.116089	16.966345	-2035.743042	451.130676	29.034220	-2151.291260	475.412659	42.075409	-2138.736328	389.335388	57.388927
396	0	-2189.541748	234.575485	846.436768	-2374.010254	390.109955	851.254761	-2163.271484	487.935974	862.679077	-2607.837158	271.475708	188.265091	-2519.780762	252.410049	50.319683	-2565.763428	230.430923	159.003021	-2519.126953	304.886292	152.485428	-2213.369873	440.307129	16.965984	-2035.801636	451.019073	28.999638	-2151.316406	475.664215	42.160698	-2138.936523	389.361359	57.385139
397	0	-2179.793701	236.389420	848.654602	-2365.258545	390.841248	853.011841	-2154.748779	489.968079	863.702148	-2589.603516	272.369934	193.488098	-2501.297363	250.365112	55.370697	-2548.228271	230.179459	164.974640	-2500.598145	304.663574	157.059479	-2213.501465	440.520660	16.978622	-2035.883911	450.809692	28.978662	-2151.307373	475.752472	42.148479	-2139.162598	389.359741	57.385216
398	0	-2170.138184	238.165497	850.935547	-2356.625732	391.455780	854.724304	-2146.403076	491.956329	864.635681	-2570.527832	273.053131	197.402374	-2480.678467	248.827469	59.598076	-2528.828125	229.968597	169.579025	-2480.737061	304.658875	160.840790	-2213.621338	440.709320	17.020567	-2035.969971	450.568359	28.968622	-2151.297119	475.716644	42.117214	-2139.359375	389.301025	57.345791
399	0	-2160.559570	239.899216	853.253784	-2348.090088	391.943085	856.371521	-2138.219238	493.890259	865.473267	-2550.476563	273.357300	200.007553	-2458.469238	247.918243	62.774166	-2507.820068	230.058258	172.647812	-2459.712891	304.811676	163.733017	-2213.719238	440.840942	17.095430	-2036.028564	450.375000	28.961946	-2151.271973	475.660889	42.145805	-2139.484131	389.186340	57.242069
400	0	-2151.043213	241.586746	855.582092	-2339.629395	392.296082	857.932434	-2130.178955	495.760956	866.208923	-2529.029053	273.541321	201.046265	-2434.805664	247.756714	64.983597	-2485.717285	230.182236	174.377625	-2437.657715	305.062378	165.724808	-2213.787842	440.900787	17.182411	-2036.043457	450.252563	28.941698	-2151.211426	475.581696	42.195889	-2139.539551	389.027405	57.095280
401	0	-2141.574463	243.224609	857.891968	-2331.222900	392.510956	859.386353	-2122.263428	497.560974	866.837280	-2506.404053	273.579132	200.547195	-2409.682617	248.264832	66.240982	-2462.601563	230.201569	174.741379	-2414.679199	305.384521	166.843735	-2213.819092	440.882355	17.262506	-2036.048828	450.197723	28.918865	-2151.156006	475.472015	42.257813	-2139.561523	388.818604	56.960197
402	0	-2132.141113	244.809525	860.153687	-2322.851563	392.587311	860.712952	-2114.452637	499.284210	867.353821	-2482.998291	273.346252	198.684570	-2383.099609	249.321274	66.565506	-2438.261963	230.529099	173.474380	-2390.888916	305.822968	167.147385	-2213.822510	440.801422	17.355133	-2036.043457	450.196594	28.878252	-2151.112549	475.364441	42.358807	-2139.576172	388.550323	56.882736
403	0	-2122.732178	246.338013	862.337097	-2314.497803	392.527985	861.893250	-2106.725098	500.925842	867.754700	-2458.903076	272.884216	195.528259	-2355.084229	250.913681	66.049934	-2413.022461	230.933395	171.120743	-2366.389404	306.465912	166.704559	-2213.847412	440.752777	17.533487	-2036.018799	450.222443	28.850748	-2151.056396	475.263062	42.512238	-2139.568359	388.242645	56.860180
404	0	-2113.338135	247.806335	864.412231	-2306.144775	392.338806	862.909729	-2099.058838	502.481873	868.036804	-2434.061279	272.343048	191.037186	-2325.800293	252.867279	64.934250	-2387.001953	231.251221	167.949738	-2341.226318	307.363861	165.545609	-2213.942383	440.864899	17.863085	-2035.970215	450.214386	28.842262	-2150.884766	475.013031	42.587044	-2139.493408	387.926178	56.839905
